Actual,Predicted
167.97999572753906,145.5871330364992
141.02000427246094,139.9520028446288
121.08999633789062,134.0812772857507
142.3300018310547,136.3775592148317
181.91000366210935,192.68745000663552
183.3300018310547,158.00931699599303
142.6300048828125,139.33078189419982
121.3499984741211,122.48808201158602
177.83999633789062,187.50659968634014
115.79000091552734,118.57355177682072
216.16000366210935,212.1700284865307
318.07000732421875,323.0515096839095
125.5,125.45031437825236
312.0799865722656,322.97948838900044
165.36000061035156,159.68854251486164
176.1999969482422,149.30932825804405
161.8800048828125,173.67219463666765
178.19000244140625,152.22325527778037
115.6500015258789,124.31159416695215
184.5399932861328,200.91026134373206
369.1199951171875,352.04075586015273
119.23999786376952,131.6817767240043
164.38999938964844,182.53883290261723
214.77999877929688,235.37952806773177
146.5399932861328,142.8111947781519
121.3000030517578,128.4740955844655
111.83000183105467,111.56642217849895
244.2899932861328,246.39058864548795
166.85000610351562,166.34953731373994
166.75999450683594,173.96242725385363
325.5899963378906,348.8894107638518
164.9199981689453,151.25489782564637
117.51000213623048,115.743797393112
215.72999572753903,226.64345925563407
205.72000122070312,223.08871059269478
222.47999572753903,252.96604484093032
408.760009765625,309.50371207600807
137.0800018310547,138.66969393247527
116.7699966430664,115.97166018482125
443.6000061035156,281.5308100017779
132.6999969482422,141.57205857754974
184.17999267578125,182.36443908769988
316.2900085449219,298.7180071174959
112.95999908447266,131.360962444626
120.0199966430664,134.58756238699584
177.3000030517578,147.92000940962276
159.25999450683594,163.44690603235577
147.5399932861328,140.53071225278404
115.79000091552734,132.12518974264503
172.61000061035156,176.65436044354922
242.1000061035156,267.85475975165855
122.88999938964844,122.04237419553482
120.54000091552734,115.38984878638212
108.0500030517578,110.45380516758027
122.41000366210938,124.23744579768024
143.75,143.5656345051435
175.39999389648438,149.44867877245062
125.54000091552734,126.96116528238667
122.48999786376952,120.1263007886871
125.33000183105467,126.7043041260917
125.8000030517578,124.88439359895199
151.22999572753906,184.68820236727765
165.24000549316406,166.9288657366182
120.37000274658205,132.19787822384507
170.94000244140625,152.48705278303888
119.79000091552734,123.46926939251375
169.41000366210938,165.94582791701652
122.97000122070312,120.18367623575153
176.27999877929688,203.81360497496627
166.6199951171875,163.89998533634653
232.9499969482422,227.52658789091316
305.82000732421875,297.23605081013176
119.79000091552734,117.3298395363021
264.92999267578125,260.97526198856826
117.68000030517578,133.3823636313375
120.12000274658205,136.1665005789673
119.51000213623048,114.18168577658486
161.72000122070312,172.90963583794547
306.95001220703125,287.8876357296666
197.19000244140625,228.24836353019208
176.92999267578125,167.51926410862006
126.41999816894533,125.21137260692444
211.8699951171875,238.89390777753357
145.75,148.02888281981313
180.3699951171875,199.85583613256478
248.8800048828125,241.12253157087054
201.97000122070312,215.17068014803297
187.19000244140625,200.0856315472152
126.55999755859376,144.86017647748207
120.69000244140624,118.63183727830108
158.69000244140625,154.62257115929486
168.14999389648438,160.74375680805431
113.61000061035156,123.83188390956826
244.1699981689453,229.6319554529677
173.6300048828125,192.80579083022212
366.260009765625,362.7463015134067
112.54000091552734,129.41561971104454
222.5200042724609,222.62590210628002
121.1999969482422,134.10733227536113
119.88999938964844,136.12469131954742
168.50999450683594,184.83872489473842
168.1300048828125,161.29019767635157
182.41000366210935,181.39145314629766
248.6300048828125,235.83284420386087
114.9499969482422,130.4381974593898
172.52000427246094,155.6796580962063
172.75999450683594,168.3099819601357
161.32000732421875,160.9412468782857
177.1699981689453,193.28272390531512
164.8300018310547,162.29659003187606
225.7700042724609,236.9030674606654
114.58999633789062,123.2624867349214
171.1300048828125,161.11768248595268
126.05999755859376,121.85001586684217
119.30999755859376,116.24340012882331
169.6699981689453,167.1378481085848
117.01000213623048,115.83801662723451
122.2300033569336,122.0090373543232
219.42999267578125,219.47776554782214
393.239990234375,347.10549223291787
224.22999572753903,211.47314383749028
162.63999938964844,156.04474801940108
122.83999633789062,137.84853654199355
118.93000030517578,121.16413749196454
138.91000366210938,142.84338030004716
121.9000015258789,139.39206411968524
115.8000030517578,130.34408450082643
154.97999572753906,167.5271211887969
161.66000366210938,157.097876192249
187.92999267578125,201.60774660663847
113.54000091552734,124.38497396759047
181.83999633789065,198.664292715159
120.63999938964844,133.11379913428297
285.3800048828125,294.3024252631524
140.52999877929688,138.58390216930218
168.25999450683594,164.08026225501376
