Actual,Predicted
211.6000061035156,212.88178138305616
161.77000427246094,161.4879110472968
167.80999755859375,168.2431301784407
137.42999267578125,136.99597586779964
178.38999938964844,178.73546245547104
183.97000122070312,184.78321263912585
169.38999938964844,169.59132042110343
118.86000061035156,119.13731636299943
172.5800018310547,172.8492952404663
168.63999938964844,169.01930482438863
172.0800018310547,172.2647974379863
303.6000061035156,303.3437997812258
250.9600067138672,249.8908616388435
309.07000732421875,305.3899612174312
169.22000122070312,169.42669827297294
179.72999572753906,180.3533188235553
120.62000274658205,120.601371988733
399.2900085449219,398.2632998435171
213.5399932861328,213.69636666037968
451.7900085449219,435.09262786375035
115.8000030517578,116.18308495549786
118.72000122070312,118.75585300922728
162.75999450683594,162.9922813926783
120.75,120.53624195620549
166.35000610351562,166.65159674728017
308.07000732421875,306.3998832323126
368.30999755859375,370.5505320673076
184.52999877929688,184.70844353914663
182.97000122070312,183.28811800672838
121.55999755859376,121.23383611817201
187.8600006103516,189.1628944211309
179.5399932861328,179.59295116711672
112.69000244140624,112.51648207712353
114.33000183105467,114.53190702141842
196.00999450683597,195.57115503224423
171.58999633789062,172.12988245475216
181.42999267578125,181.5382441274418
169.35000610351562,169.2923391754182
121.51000213623048,121.47341951553261
160.22999572753906,160.24687346680037
112.0500030517578,112.52987968570568
232.6199951171875,232.21171975357936
162.91000366210938,163.08009418306114
192.00999450683597,191.47633661440875
123.5999984741211,123.46648621892288
118.1500015258789,118.25420419900317
163.66000366210938,163.36894982040826
180.63999938964844,180.82588118106838
120.13999938964844,119.93880443907585
128.07000732421875,127.7789231959411
217.22000122070312,216.82978100462822
157.8699951171875,157.91774570640098
281.1099853515625,280.5884948097233
140.63999938964844,140.82682608347037
307.4700012207031,306.5728569187926
169.61000061035156,169.64862740127347
223.25,222.85562142797227
163.63999938964844,163.3464036359242
147.97000122070312,147.90489953844173
115.62000274658205,115.70044922996587
118.58000183105467,118.78240331787632
181.22000122070312,180.57007556265674
174.5399932861328,173.45155369796964
118.94000244140624,119.0573869747991
219.58999633789065,220.0922289514919
122.79000091552734,122.44305772821303
114.73999786376952,115.11248495984316
128.07000732421875,128.40610363860577
246.97999572753903,246.44265884178233
181.8800048828125,181.3383710530812
165.44000244140625,165.81116760422577
218.08999633789065,217.81726574088373
121.51000213623048,121.58504678412015
165.4199981689453,165.461909611878
215.0399932861328,214.93680451030957
215.72000122070312,217.04695318800597
180.5399932861328,181.03645308607213
178.27000427246094,177.93226151861168
118.9000015258789,118.87140234984383
169.2100067138672,169.12705708539107
117.43000030517578,119.07145157873444
182.9499969482422,182.71807245428886
143.13999938964844,142.62312486302798
117.5500030517578,117.63234484548875
201.19000244140625,201.31785335340328
272.2099914550781,271.4864160734284
121.51000213623048,121.39467728015373
113.26000213623048,113.34046168310519
123.70999908447266,123.61619514148006
118.93000030517578,118.82989277377104
165.5,167.0071771477517
176.44000244140625,176.50233118261724
306.1199951171875,305.9032876453545
167.74000549316406,167.92676807574503
189.30999755859372,189.50706760565615
117.68000030517578,118.09161981018664
126.16000366210938,126.1198383741444
168.55999755859375,168.26908173609525
253.32000732421875,252.8025777729639
186.4900054931641,186.5525195209821
121.12999725341795,121.32718619849055
172.1699981689453,172.51746223225928
141.52999877929688,141.56294870523675
165.1199951171875,165.16377029350176
124.58999633789062,124.70532602645275
160.6999969482422,160.22839419039232
175.69000244140625,176.0210052085164
118.6500015258789,118.6947972375192
185.1100006103516,184.63397138446578
304.5,304.354182760969
172.8300018310547,172.70880253027485
121.8000030517578,121.95911648117132
117.91000366210938,117.66434036032055
120.8000030517578,120.73691105281921
184.55999755859372,184.87450296418862
160.50999450683594,160.85147923655455
164.94000244140625,164.76745246795596
167.77000427246094,168.17721532781007
127.61000061035156,127.61434157215442
159.13999938964844,158.92265155772844
185.1000061035156,185.33891873367622
133.63999938964844,133.78885417889953
125.1500015258789,125.035919680239
153.75,153.57169693579047
182.4499969482422,182.63698808508207
112.5999984741211,112.46756169914224
148.47000122070312,149.10752130813802
